00000003-0000-0000-c000-000000000000,Microsoft Graph
00000006-0000-0ff1-ce00-000000000000,Microsoft Office 365 Portal
00000014-0000-0000-c000-000000000000,Microsoft.Azure.SyncFabric
00b41c95-dab0-4487-9791-b9d2c32c80f2,Office 365 Management
05a65629-4c1b-48c1-a78b-804c4abdd4af,Microsoft Cloud App Security
06c6433f-4fb8-4670-b2cd-408938296b8e,AAD Pin Redemption
0a0a29f9-0a25-49c7-94bf-c53c3f8fa69d,Cortana Experience with O365
0af06dc6-e4b5-4f28-818e-e78e62d137a5,Windows 365
0bf30f3b-4a52-48df-9a82-234910c4a086,Microsoft Graph Change Tracking
0c1307d4-29d6-4389-a11c-5cbe7f65d7fa,Azure Mobile App
0f6edad5-48f2-4585-a609-d252b1c52770,AIGraphClient
0fa37baf-7afc-4baf-ab2d-d5bb891d53ef,Microsoft Teams ATP Service
11c174dc-1945-4a9a-a36b-c79a0f246b9b,Windows Azure Application Insights
15689b28-1333-4213-bb64-38407dde8a5e,Microsoft Azure
1651564e-7ce4-4d99-88be-0a65050d8dc3,Sync Client
166f1b03-5b19-416f-a94b-1d7aa2d247dc,Office Hive
1950a258-227b-4e31-a9cf-717495945fc2,Microsoft Azure PowerShell
19947cfd-0303-466c-ac3c-fcc19a7a1570,Azure DNS
1b730954-1685-4b74-9bfd-dac224a7b894,Azure AD PowerShell
1d78a85d-813d-46f0-b496-dd72f50a3ec0,Microsoft Azure Policy Insights
1e2ca66a-c176-45ea-a877-e87f7231e0ee,Microsoft B2B Admin Worker
1e3e4475-288f-4018-a376-df66fd7fac5f,NetworkTrafficAnalyticsService
1fec8e78-bce4-4aaf-ab1b-5451cc387264,Microsoft Teams
224a7b82-46c9-4d6b-8db0-7360fb444681,Microsoft Modern Contact Master
22d7579f-06c2-4baa-89d2-e844486adb9d,Cortana at Work Bing Services
27922004-5251-4030-b22d-91ecd9a37ea4,Outlook Mobile
29d9ed98-a469-4536-ade2-f981bc1d605e,Azure MDM
2a0c3efa-ba54-4e55-bdc0-770f9e39e9ee,PowerBi Contentpack
2a486b53-dbd2-49c0-a2bc-278bdfc30833,Cortana at Work Service
2cf9eb86-36b5-49dc-86ae-9a63135dfa8c,Azure Traffic Manager and DNS
2f3f02c9-5679-4a5c-a605-0de55b07d135,Office 365 Information Protection
328fd23b-de6e-462c-9433-e207470a5727,NFV Resource Provider
389b1b32-b5d5-43b2-bddc-84ce938d6737,Office Management
38aa3b87-a06d-4817-b275–7a316988d93b,AAD CloudAP
3c31d730-a768-4286-a972-43e9b83601cd,Demeter.WorkerRole
3cf6df92-2745-4f6f-bbcf-19b59bcdb62a,Office 365 Client Admin
3eb95cef-b10f-46fe-94e0-969a3d4c9292,Office 365 Import Service
441509e5-a165-4363-8ee7-bcf0b7d26739,DWEngineV2
45a330b1-b1ec-4cc1-9161-9f03992aa49f,Windows Store for Business
47ee738b-3f1a-4fc7-ab11-37e4822b007e,Azure AD Application Proxy
4813382a-8fa7-425e-ab75-3b753aab3abb,Microsoft Authenticator App
4990cffe-04e8-4e8b-808a-1175604b879,Patner Dashboard
